"Nr";"Priorität";"Dokument";"Bereich";"Feld / Task";"Was ist zu tun";"Hinweis"
"38";"Hoch";"Offer";"Kopf";"customFields (Freifelder)";"In Create + Update ergänzen";"View nur mit Include; Schreiben per API fehlt bei allen Dokumenten"
"39";"Hoch";"Offer";"Search";"documentAddress.email";"In searchTerm-Volltextsuche aufnehmen";"E-Mail-Suche = Standard-Use-Case (Shop-Bestellungen)"
"40";"Hoch";"Offer";"Search";"documentAddress.zipCode";"In searchTerm-Volltextsuche aufnehmen";"PLZ-Suche = Standard-Use-Case am Telefon"
"41";"Hoch";"Offer";"Kopf";"financials.paymentMethod";"In Update ergänzen";"Create ja (paymentMethod-Ref), Update fehlt (asymmetrisch)"
"42";"Hoch";"Offer";"Kopf";"financials.paymentTerms.paymentTargetDays";"In Create + Update ergänzen";"Zahlungsziel (Tage)"
"43";"Hoch";"Offer";"Kopf";"financials.paymentTerms.paymentTargetDiscount";"In Create + Update ergänzen";"Skonto (%)"
"44";"Hoch";"Offer";"Kopf";"financials.paymentTerms.paymentTargetDiscountDays";"In Create + Update ergänzen";"Skontofrist (Tage)"
"45";"Hoch";"Offer";"Position";"hsCode (Zolltarifnummer)";"In Update ergänzen";"Nur im Create — Update fehlt"
"46";"Hoch";"Offer";"Kopf";"shippingMethod";"In Update ergänzen";"Create ja, Update fehlt (asymmetrisch)"
"47";"Hoch";"Production";"Search";"documentNumber";"In searchTerm-Volltextsuche aufnehmen";"Vergabe beim Freigeben"
"48";"Hoch";"Production";"Search";"internalDesignation";"In searchTerm-Volltextsuche aufnehmen";""
"49";"Hoch";"Production";"Endpunkt";"PATCH /v3/productions/{id}";"Update-Endpoint einführen";"Voraussetzung für alle Production-Feld-Tasks; Planungsalgorithmen können sonst keine Termine verschieben"
"50";"Hoch";"ProformaInvoice";"Position";"countryOfOrigin";"In Update ergänzen";"Nur im Create — für Zollbeleg kritisch!"
"51";"Hoch";"ProformaInvoice";"Search";"customerOrderNumber";"In searchTerm-Volltextsuche aufnehmen";""
"52";"Hoch";"ProformaInvoice";"Kopf";"customFields (Freifelder)";"In Create + Update ergänzen";"View nur mit Include; Schreiben per API fehlt bei allen Dokumenten"
"53";"Hoch";"ProformaInvoice";"Search";"documentAddress.email";"In searchTerm-Volltextsuche aufnehmen";"E-Mail-Suche = Standard-Use-Case (Shop-Bestellungen)"
"54";"Hoch";"ProformaInvoice";"Search";"documentAddress.zipCode";"In searchTerm-Volltextsuche aufnehmen";"PLZ-Suche = Standard-Use-Case am Telefon"
"55";"Hoch";"ProformaInvoice";"Kopf";"financials.paymentMethod";"In Create + Update ergänzen";"UI „Zahlungsweise“"
"56";"Hoch";"ProformaInvoice";"Kopf";"financials.paymentTerms.paymentTargetDays";"In Create + Update ergänzen";"Zahlungsziel (Tage)"
"57";"Hoch";"ProformaInvoice";"Kopf";"financials.paymentTerms.paymentTargetDiscount";"In Create + Update ergänzen";"Skonto (%)"
"58";"Hoch";"ProformaInvoice";"Kopf";"financials.paymentTerms.paymentTargetDiscountDays";"In Create + Update ergänzen";"Skontofrist (Tage)"
"59";"Hoch";"ProformaInvoice";"Position";"hsCode (Zolltarifnummer)";"In Update ergänzen";"Nur im Create — für Zollbeleg kritisch!"
"60";"Hoch";"PurchaseOrder";"Position";"countryOfOrigin";"In Update ergänzen";"Nur im Create"
"61";"Hoch";"PurchaseOrder";"Position";"customFields";"In Create + Update ergänzen";"Nur Include"
"62";"Hoch";"PurchaseOrder";"Kopf";"customFields (Freifelder)";"In Create + Update ergänzen";"View nur mit Include; Schreiben per API fehlt bei allen Dokumenten"
"63";"Hoch";"PurchaseOrder";"Search";"documentAddress.email";"In searchTerm-Volltextsuche aufnehmen";"E-Mail-Suche = Standard-Use-Case (Shop-Bestellungen)"
"64";"Hoch";"PurchaseOrder";"Search";"documentAddress.zipCode";"In searchTerm-Volltextsuche aufnehmen";"PLZ-Suche = Standard-Use-Case am Telefon"
"65";"Hoch";"PurchaseOrder";"Kopf";"financials.paymentMethod";"In Create + Update ergänzen";"Nicht mal filterbar"
"66";"Hoch";"PurchaseOrder";"Kopf";"financials.paymentTerms.paymentTargetDays";"In Create + Update ergänzen";""
"67";"Hoch";"PurchaseOrder";"Kopf";"financials.paymentTerms.paymentTargetDiscount";"In Create + Update ergänzen";""
"68";"Hoch";"PurchaseOrder";"Kopf";"financials.paymentTerms.paymentTargetDiscountDays";"In Create + Update ergänzen";""
"69";"Hoch";"PurchaseOrder";"Position";"hsCode";"In Update ergänzen";"Nur im Create"
"70";"Hoch";"PurchaseOrder";"Search";"supplierOfferNumber";"In searchTerm-Volltextsuche aufnehmen";"Angebotsnummer des Lieferanten"
"71";"Hoch";"PurchaseOrder";"Search";"supplierOrderNumber";"In searchTerm-Volltextsuche aufnehmen";"AB-Nummer des Lieferanten — Standard-Suchbegriff im Einkauf"
"72";"Hoch";"ReturnOrder";"Position";"countryOfOrigin";"In Update ergänzen";"Nur im Create — Update fehlt; Artikel-Fallback nur im PDF"
"73";"Hoch";"ReturnOrder";"Search";"customerOrderNumber";"In searchTerm-Volltextsuche aufnehmen";""
"74";"Hoch";"ReturnOrder";"Position";"customFields";"In Create + Update ergänzen";"Nur Include — Schreiben fehlt"
"75";"Hoch";"ReturnOrder";"Kopf";"customFields (Freifelder)";"In Create + Update ergänzen";"View nur mit Include; Schreiben per API fehlt bei allen Dokumenten"
"76";"Hoch";"ReturnOrder";"Search";"documentAddress.email";"In searchTerm-Volltextsuche aufnehmen";"E-Mail-Suche = Standard-Use-Case (Shop-Bestellungen)"
"77";"Hoch";"ReturnOrder";"Search";"documentAddress.zipCode";"In searchTerm-Volltextsuche aufnehmen";"PLZ-Suche = Standard-Use-Case am Telefon"
"78";"Hoch";"ReturnOrder";"Position";"hsCode (Zolltarifnummer)";"In Update ergänzen";"Nur im Create — Update fehlt"
"79";"Hoch";"ReturnOrder";"Kopf";"shippingMethod";"In Create + Update ergänzen";"UI „Versandart“ — fehlt in Create/Update"
"80";"Hoch";"SalesOrder";"Position";"countryOfOrigin";"In Update ergänzen";"Nur im Create — Update fehlt; Artikel-Fallback nur im PDF"
"81";"Hoch";"SalesOrder";"Kopf";"customerOrderNumber";"In Create + Update ergänzen";"UI „Ihre Bestellnummer / Kommission“ — B2B-Standardfeld"
"82";"Hoch";"SalesOrder";"Search";"customerOrderNumber";"In searchTerm-Volltextsuche aufnehmen";"UI „Ihre Bestellnummer / Kommission“ — B2B-Standardfeld"
"83";"Hoch";"SalesOrder";"Position";"customFields";"In Create + Update ergänzen";"Nur Include — Schreiben fehlt"
"84";"Hoch";"SalesOrder";"Kopf";"customFields (Freifelder)";"In Create + Update ergänzen";"View nur mit Include; Schreiben per API fehlt bei allen Dokumenten"
"85";"Hoch";"SalesOrder";"Kopf";"desiredDeliveryDate";"In Create + Update ergänzen";"Wunschlieferdatum — Kernfeld für Fulfillment"
"86";"Hoch";"SalesOrder";"Kopf";"desiredDeliveryDateAsCalendarWeek";"In Create + Update ergänzen";"Checkbox „als KW“"
"87";"Hoch";"SalesOrder";"Search";"documentAddress.email";"In searchTerm-Volltextsuche aufnehmen";"E-Mail-Suche = Standard-Use-Case (Shop-Bestellungen)"
"88";"Hoch";"SalesOrder";"Search";"documentAddress.zipCode";"In searchTerm-Volltextsuche aufnehmen";"PLZ-Suche = Standard-Use-Case am Telefon"
"89";"Hoch";"SalesOrder";"Kopf";"externalOrderId";"In Create + Update ergänzen";"Heute nur vom Shop-Importer (class.remote.php) gesetzt — für Integrationen ergänzen"
"90";"Hoch";"SalesOrder";"Search";"externalOrderId";"In searchTerm-Volltextsuche aufnehmen";"Heute nur vom Shop-Importer (class.remote.php) gesetzt — für Integrationen ergänzen"
"91";"Hoch";"SalesOrder";"Kopf";"externalOrderNumber";"In Create + Update ergänzen";"UI „Internet“ — Shop-Bestellnummer, die Kunden am Telefon nennen"
"92";"Hoch";"SalesOrder";"Search";"externalOrderNumber";"In searchTerm-Volltextsuche aufnehmen";"UI „Internet“ — Shop-Bestellnummer, die Kunden am Telefon nennen"
"93";"Hoch";"SalesOrder";"Kopf";"financials.paymentMethod";"In Create + Update ergänzen";"UI „Zahlungsweise“"
"94";"Hoch";"SalesOrder";"Kopf";"financials.paymentTerms.paymentTargetDays";"In Create + Update ergänzen";"Zahlungsziel (Tage)"
"95";"Hoch";"SalesOrder";"Kopf";"financials.paymentTerms.paymentTargetDiscount";"In Create + Update ergänzen";"Skonto (%)"
"96";"Hoch";"SalesOrder";"Kopf";"financials.paymentTerms.paymentTargetDiscountDays";"In Create + Update ergänzen";"Skontofrist (Tage)"
"97";"Hoch";"SalesOrder";"Position";"hsCode (Zolltarifnummer)";"In Update ergänzen";"Nur im Create — Update fehlt"
"98";"Hoch";"SalesOrder";"Kopf";"salesChannel";"In Create + Update ergänzen";"Heute nur vom Shop-Importer gesetzt — V3-Integrationen können Herkunft nicht kennzeichnen → ergänzen"
"99";"Hoch";"SalesOrder";"Kopf";"shippingMethod";"In Create + Update ergänzen";"UI „Versandart“ — zentrales Feld, fehlt in Create/Update"
"100";"Hoch";"SalesOrder";"Kopf";"storageCountry";"In Create + Update ergänzen";"Heute nur systemseitig einmalig gesetzt (OSS/Lieferschwelle, erpapi) — soll per API voll pflegbar werden (externe Steuer-Engine)"
"101";"Hoch";"SalesOrder";"Kopf";"transactionNumber";"In Create + Update ergänzen";"Heute nur vom Shop-Importer/Payment gesetzt — für Payment-Integrationen ergänzen"
"102";"Hoch";"SalesOrder";"Search";"transactionNumber";"In searchTerm-Volltextsuche aufnehmen";"Heute nur vom Shop-Importer/Payment gesetzt — für Payment-Integrationen ergänzen"
"103";"Hoch";"Übergreifend";"View";"Belegreferenzen als {id, documentNumber, documentDate}";"Alle Referenzfelder (salesOrder, deliveryNote, invoice, offer, priceInquiry) einheitlich um documentNumber + documentDate erweitern";"Siehe Kreuzmatrix „Fremd-Belegnummern“ in der Übersicht — PDF druckt Nummern, Payload liefert nur IDs (bzw. bei Gutschrift/Proforma gar nichts)"
"104";"Hoch";"Übergreifend";"Endpunkt";"include=letterhead";"Briefkopf-/Footer-Kontext als Include auf allen GET-Endpoints (siehe Tab „include=letterhead“ mit Beispiel-Payload)";"Firmendaten, Footer-Spalten, Bank/GiroCode, Labels je Sprache, aufgelöste Zahlungs-/Steuertexte, Formatierung, Briefpapier-Dateien"
"105";"Mittel";"CreditNote";"Kopf";"address (Kunde)";"In Update ergänzen";"Create: Pflichtfeld; Partnerwechsel per UI möglich, per API nicht; Filter address.id"
"106";"Mittel";"CreditNote";"Position";"customerProductNumber";"In Update ergänzen";"Nur im Create — Update fehlt"
"107";"Mittel";"CreditNote";"Kopf";"deliveryNote (Referenz)";"Im View lesbar machen (Headless-Anforderung)";"UI zeigt Lieferschein-Referenz (LIEFERID) — im V3-View abwesend; PDF druckt LS-Nummer + -Datum"
"108";"Mittel";"CreditNote";"Kopf";"financials.tax.disableTaxNotice";"In Create + Update ergänzen";"UI „kein Steuersatz“"
"109";"Mittel";"CreditNote";"Kopf";"invoice";"In Update ergänzen";"Referenz auf Rechnung (Create ja, Update fehlt); Filter invoice.id"
"110";"Mittel";"CreditNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Referenzierte Rechnungs-Belegnummer UND -Datum (invoice nur ID) — Standard-Kopfzeilen";"Aus der Legacy-PDF-Analyse (Gutschrift)"
"111";"Mittel";"CreditNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Auftrags-Belegnummer (via referenzierte Rechnung) + LS-Nummer/-Datum";"Aus der Legacy-PDF-Analyse (Gutschrift)"
"112";"Mittel";"CreditNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Storno-Rendering: Titel, {ART}-Ersetzung, Vorzeichen-Negation aller Preise/Summen";"Aus der Legacy-PDF-Analyse (Gutschrift)"
"113";"Mittel";"CreditNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Lastschrift-Sondertext „Offene Lastschriften"", Skonto-Hinweistext, Steuerbetrag je Satz, EU-/Export-Vermerk";"Aus der Legacy-PDF-Analyse (Gutschrift)"
"114";"Mittel";"CreditNote";"Position";"Produkt-Stammdaten via Include (EAN, Gewicht, Abmessung, Hersteller)";"Im View lesbar machen (Headless-Anforderung)";"ProductResource ist „slim“ (nur id + number) — für Headless-UIs und PDF-Rendering nötig"
"115";"Mittel";"CreditNote";"Kopf";"salesOrder (via Rechnung)";"Im View lesbar machen (Headless-Anforderung)";"PDF-Kopfzeile „Auftrag“ zieht die Auftragsnummer aus der referenzierten Rechnung — im View fehlt jede Auftrags-Referenz"
"116";"Mittel";"DeliveryNote";"Kopf";"address (Kunde)";"In Update ergänzen";"Create: Pflichtfeld; Partnerwechsel per UI möglich, per API nicht; Filter address.id"
"117";"Mittel";"DeliveryNote";"Position";"customerProductNumber";"In Update ergänzen";"Nur im Create — Update fehlt"
"118";"Mittel";"DeliveryNote";"Position";"customs.valueSingle/valueTotal/weightSingle/weightTotal";"In Create + Update ergänzen";"Zollwerte/-gewichte — read-only"
"119";"Mittel";"DeliveryNote";"Position";"desiredQualityControlAttributes (bestBeforeDate, batch)";"In Create + Update ergänzen";"Wunsch-Charge/MHD — read-only"
"120";"Mittel";"DeliveryNote";"Kopf";"isDeliveryNoteToSupplier";"In Create + Update ergänzen";"UI „Lieferantenretoure“-Flag"
"121";"Mittel";"DeliveryNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Referenzierte Auftrags-Belegnummer (nur salesOrder.id) — Standard-Kopfzeile + corr-Block";"Aus der Legacy-PDF-Analyse (Lieferschein)"
"122";"Mittel";"DeliveryNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Trackingnummer (versand-Tabelle; Setting festetrackingnummer + corr-Block TRACKINGNUMMER) — kein V3-Endpunkt, nur Legacy-v1 /shipments";"Aus der Legacy-PDF-Analyse (Lieferschein)"
"123";"Mittel";"DeliveryNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Tatsächliche Seriennummern / Chargen / MHD je Position (nur desired-Wunschwerte im View)";"Aus der Legacy-PDF-Analyse (Lieferschein)"
"124";"Mittel";"DeliveryNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Lagerplatz/Lagertext je Position inkl. Kommissionierschein-Sortierung";"Aus der Legacy-PDF-Analyse (Lieferschein)"
"125";"Mittel";"DeliveryNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Hersteller(-nummer), EAN, Abmessungen je Position (auch nicht via include — ProductResource ist slim)";"Aus der Legacy-PDF-Analyse (Lieferschein)"
"126";"Mittel";"DeliveryNote";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Positions-Freifelder 1–40, Bearbeiter-/Ansprechpartner-Kontakte, Titel-Override „Lieferscheinersatz""";"Aus der Legacy-PDF-Analyse (Lieferschein)"
"127";"Mittel";"DeliveryNote";"Position";"Produkt-Stammdaten via Include (EAN, Gewicht, Abmessung, Hersteller)";"Im View lesbar machen (Headless-Anforderung)";"ProductResource ist „slim“ (nur id + number) — für Headless-UIs und PDF-Rendering nötig"
"128";"Mittel";"DeliveryNote";"Position";"Seriennummern / Chargen / MHD (tatsächlich gebucht)";"In View + Create + Update aufnehmen";"Gar nicht im V3 (nur interne Web-Routen) — PDF druckt sie, Headless-UIs brauchen sie lesbar!"
"129";"Mittel";"DeliveryNote";"Endpunkt";"Seriennummern/Chargen/MHD";"Tatsächlich gebuchte SN/Chargen/MHD lesbar machen (Position oder Sub-Ressource)";"PDF druckt sie; V3 kennt nur desired-Wunschwerte"
"130";"Mittel";"DeliveryNote";"Position";"sscc";"In Create + Update ergänzen";"NVE/SSCC — im View, nicht schreibbar"
"131";"Mittel";"DeliveryNote";"Position";"Trackingnummer (Versand)";"In View + Create + Update aufnehmen";"Kein V3-Endpunkt — nur Legacy-v1 /shipments; für Headless lesbar machen"
"132";"Mittel";"Invoice";"Kopf";"address (Kunde)";"In Update ergänzen";"Create: Pflichtfeld; Partnerwechsel per UI möglich, per API nicht; Filter address.id"
"133";"Mittel";"Invoice";"Position";"customerProductNumber";"In Update ergänzen";"Nur im Create — Update fehlt"
"134";"Mittel";"Invoice";"Kopf";"financials.tax.disableTaxNotice";"In Create + Update ergänzen";"UI „kein Steuersatz“"
"135";"Mittel";"Invoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Referenzierte Auftrags- UND Lieferschein-Belegnummer + LS-Datum (nur IDs) — Standard-Infobox-Zeilen!";"Aus der Legacy-PDF-Analyse (Rechnung)"
"136";"Mittel";"Invoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Trackingnummer + Versandart-Name (Setting festetrackingnummer) — Versandart fehlt in der Invoice-Payload komplett";"Aus der Legacy-PDF-Analyse (Rechnung)"
"137";"Mittel";"Invoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Ansprechpartner Buchhaltung (Feld buchhaltung)";"Aus der Legacy-PDF-Analyse (Rechnung)"
"138";"Mittel";"Invoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Kompletter Mahnwesen-Zweig: Titel je Stufe, Body-Vorlagen mit Gebühren/Fristen, Positions-Sichtbarkeit";"Aus der Legacy-PDF-Analyse (Rechnung)"
"139";"Mittel";"Invoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Kopie-Vermerk („Doppel""), berechnetes Fälligkeits-/Skontodatum, Steuerbetrag je Steuersatz";"Aus der Legacy-PDF-Analyse (Rechnung)"
"140";"Mittel";"Invoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: GiroCode/QR-Zahlungscode (qr_iban/qr_bic) + Bankverbindung, EU-/Export-Steuervermerk, Zahlungsbedingungs-Text";"Aus der Legacy-PDF-Analyse (Rechnung)"
"141";"Mittel";"Invoice";"Position";"Produkt-Stammdaten via Include (EAN, Gewicht, Abmessung, Hersteller)";"Im View lesbar machen (Headless-Anforderung)";"ProductResource ist „slim“ (nur id + number) — für Headless-UIs und PDF-Rendering nötig"
"142";"Mittel";"Invoice";"Kopf";"salesOrder";"In Update ergänzen";"Reine Referenz (Positionen werden nicht kopiert); Update fehlt; Filter salesOrder.id"
"143";"Mittel";"Offer";"Kopf";"address (Kunde)";"In Update ergänzen";"Create: Pflichtfeld; Partnerwechsel per UI möglich, per API nicht; Filter address.id"
"144";"Mittel";"Offer";"Position";"customerProductNumber";"In Update ergänzen";"Nur im Create — Update fehlt"
"145";"Mittel";"Offer";"Kopf";"financials.tax.disableTaxNotice";"In Create + Update ergänzen";"UI „kein Steuersatz“"
"146";"Mittel";"Offer";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Kundennummer-Label + Projekt-Abkürzung für die Infobox";"Aus der Legacy-PDF-Analyse (Angebot)"
"147";"Mittel";"Offer";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Titel-Logik (abweichende Bezeichnung, angebot_header/_footer-Vorlagen + ParseUserVars)";"Aus der Legacy-PDF-Analyse (Angebot)"
"148";"Mittel";"Offer";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: EU-/Export-Steuervermerk, Zahlungsbedingungs-Text, Steuerbetrag je Satz, Footer-Reihenfolge";"Aus der Legacy-PDF-Analyse (Angebot)"
"149";"Mittel";"Offer";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Hinweis: validUntilDate/plannedOrderDate druckt das Legacy-PDF gar nicht — für ein eigenes Layout aber vorhanden ✓";"Aus der Legacy-PDF-Analyse (Angebot)"
"150";"Mittel";"Offer";"Position";"Produkt-Stammdaten via Include (EAN, Gewicht, Abmessung, Hersteller)";"Im View lesbar machen (Headless-Anforderung)";"ProductResource ist „slim“ (nur id + number) — für Headless-UIs und PDF-Rendering nötig"
"151";"Mittel";"Production";"Kopf";"address (Kunde)";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Create: Pflichtfeld"
"152";"Mittel";"Production";"Kopf";"batch (Charge)";"In View + Create + Update aufnehmen (setzt neuen PATCH-Endpoint voraus)";"UI-Eingabefeld — im API-Contract komplett abwesend (nicht mal View)"
"153";"Mittel";"Production";"Kopf";"bestBeforeDate (MHD)";"In View + Create + Update aufnehmen (setzt neuen PATCH-Endpoint voraus)";"UI-Eingabefeld — im API-Contract komplett abwesend"
"154";"Mittel";"Production";"Kopf";"bodyText";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Freitext"
"155";"Mittel";"Production";"Kopf";"createSerialNumbers";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";""
"156";"Mittel";"Production";"Kopf";"documentDate";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"KEIN Update-Endpoint — alle Felder nach Create unveränderbar"
"157";"Mittel";"Production";"Kopf";"functionTest";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";""
"158";"Mittel";"Production";"Kopf";"internalComment";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";""
"159";"Mittel";"Production";"Kopf";"internalDesignation";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";""
"160";"Mittel";"Production";"Endpunkt";"LineItem-Endpoints für materials";"POST/PATCH/DELETE für Stücklistenpositionen";"Stückliste ist per API komplett unantastbar"
"161";"Mittel";"Production";"Kopf";"materialReservation";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"instant, onRelease, onStart"
"162";"Mittel";"Production";"Kopf";"materialRetrieval";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"single, collective"
"163";"Mittel";"Production";"Kopf";"materials (Stückliste)";"In Create + Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Unterfelder: siehe Tabelle unten — komplett read-only"
"164";"Mittel";"Production";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Das Produktions-PDF ist ein Eigen-Layout — fast alles fehlt in der Payload:";"Aus der Legacy-PDF-Analyse (Produktionsauftrag)"
"165";"Mittel";"Production";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Arbeitsschritte komplett (produktion_arbeitsanweisung): Bezeichnung, Arbeitsplatzgruppe, Einzel-/Gesamtzeit, Beschreibung, Bild";"Aus der Legacy-PDF-Analyse (Produktionsauftrag)"
