"Nr";"Priorität";"Bereich";"Fehlende API";"Was gibt es heute (verifiziert in routes/api.php + routes/v3.php)";"Benötigt für (neues Modell)";"Vorschlag Endpoint(s)"
"11";"Mittel";"GoBD";"Globaler AuditLog";"Nur activity-Include je Beleg; nichts Globales, Akteur-Auflösung (API-Key/Agent) unklar";"?expand=activity überall + Prüfer-Query";"GET /v3/auditLog?filter[object|actor|period]"
"12";"Mittel";"GoBD";"Beleg-PDF-Versionsarchiv";"Nur aktueller Render via Accept: application/pdf";"revisionssichere Versionen je Versand";"GET /v3/{beleg}/{id}/pdfVersions"
"13";"Erledigt/Prüfen";"Stammdaten";"Verkaufspreise schreiben — VORHANDEN (Korrektur)";"KORREKTUR (frühere Notiz falsch): salesPrices hat volles CRUD — POST/PATCH/DELETE /v1/salesPrices (salesPrice.create/update/updateMultiple/delete) inkl. Staffelmenge (amount), customer/customerGroup, validFrom/expiresAt; zusätzlich POST /api/v3/salesPrices (developer.xentral.com). Product-Core komponiert den VK-Preis jetzt über salesPrices beim Create/Update.";"priceList mit Staffeln je Kunde/Kanal (nur die aggregierte Preislisten-Sicht fehlt noch, die Schreib-Primitive existieren)";"Optional: GET+POST+PATCH /v3/priceLists als aggregierte Sicht — Schreiben selbst ist bereits über salesPrices möglich"
"14";"Mittel";"Stammdaten";"Customer-Finance schreiben + Offene-Posten-Query";"creditLimit/Liefersperre nur UI; openAmount nirgends aggregiert";"customer.finance {openAmount, creditLimit, onHold}";"PATCH customer.finance + GET /v3/customers/{id}/openItems"
"15";"Mittel";"Beleg";"Letterhead-/Briefkopf-Kontext (Bausteine via BF teilweise da)";"TEILWEISE NEU: BusinessEntities LayoutTemplate, BusinessLetterTemplate, BusinessDocumentInfoBlock, TextSnippet, Company unter /api/entity/… — aber kein pro-Beleg aufgelöster Kontext (Sprache/Projekt/Zahlungstexte/Steuersummen)";"include=letterhead → eigenes PDF-Rendering";"?expand=letterhead als aufgelöste Sicht; Rohdaten über BF-Entities konsumieren"
"16";"Niedrig";"Plattform";"Webhook-Event-Abdeckung prüfen";"VORHANDEN: /webhooks CRUD + /webhookEventTypes — offene Frage ist nur, ob alle Kern-Events (Beleg-Statuswechsel, Zahlungs-Eingang, Lager) als EventTypes existieren";"Event-Push für Headless/Layer-Cache";"Fehlende EventTypes ergänzen statt neuer API"
"17";"Niedrig";"Stammdaten";"Channel/SalesChannel Sync-Status";"TEILWEISE: SalesChannelConfiguration-Endpoints (u. a. VCS-Config) — Sync-Läufe/-Status fehlen";"channel.sync";"GET /v3/salesChannels/{id}/syncStatus"
"18";"Niedrig";"Lager";"StorageLocation-Inhalte in v3 vereinheitlichen";"FUNKTIONIERT via v1 CRUD + v2 items + v1 product-stocks (Fan-in) — nur unbequem verteilt";"stockLevel-Projektion";"GET /v3/stockLevels?filter[product|warehouse|storageLocation|batch]"
"19";"Hoch";"Beleg";"Angebot in Auftrag wandeln (v3)";"NUR Legacy-XML-API GET/POST /api/v1/AngebotZuAuftrag (Digest-Auth, Altrecht standard_angebotzuauftrag, bereits hinter Killswitch); v3 hat createFromSalesOrder + createFromDeliveryNote, aber kein createFromOffer; POST /v3/salesOrders kann kein Angebot referenzieren (Beziehung read-only)";"Quote.convertToSalesOrder — der einzige fehlende Beleg-Übergang im Verkaufsprozess";"POST /v3/salesOrders/actions/createFromOffer (umhüllt Erpapi::WeiterfuehrenAngebotZuAuftrag; ersetzt zugleich die abzuschaltende Legacy-API)"
"20";"Mittel";"Beleg";"Angebot ablehnen (v3)";"NICHTS über API. v3 offers kennt nur release/cancel/send/logActivity/setWriteProtection/removeWriteProtection; UpdateOfferData hat kein status-Feld; ApiBelegEdit lässt abgelehnt nicht zu. Ausgeführt nur in der Oberfläche (www/pages/angebot.php:902) als SQL-Update";"Quote.decline — ohne den Endpunkt endet der Angebotsprozess für einen Agenten bei „abgelehnt“ blind";"PATCH /v3/offers/{id}/actions/decline (Scope analog offer:cancel; schließt Wiedervorlagen, schreibt Protokoll)"
"21";"Mittel";"Beleg";"Beleg duplizieren (v3)";"NICHTS über API in irgendeiner Generation; erpAPI::CopyAngebot/CopyAuftrag/CopyRechnung/CopyLieferschein nur hinter index.php?module=…&action=copy";"duplicate auf sieben Belegtypen — heute muss ein Agent jeden Beleg von Hand nachbauen";"POST /v3/{beleg}/{id}/actions/duplicate, einheitlich je Belegtyp"
"22";"Klärung";"Beleg";"Angebotsstatus „angenommen“ ist tot";"OfferStatus::ACCEPTED existiert im Enum, wird aber von keinem Code geschrieben und kommt im Mandanten-Audit in 0 Zeilen vor (beauftragt 605.663, versendet 412.098, abgelehnt 117.289)";"Quote.accept — wir bilden einen Zustand ab, den es betrieblich nicht gibt";"Entweder Weg nach „angenommen“ schaffen oder den Wert aus dem Enum entfernen"
